[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /xxx/*filepath            --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /xxx/*filepath            --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] Loaded HTML Templates (2): 
	- 
	- index.html

[GIN-debug] GET    /                         --> main.main.func1 (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :80
[GIN] 2023/06/30 - 22:11:58 | 404 |       1.096µs |  219.144.66.205 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:11:58 | 404 |         508ns | 123.159.206.172 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:11:58 | 404 |         512ns |   27.221.126.25 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:11:59 | 404 |         648ns |    218.61.7.231 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:23:40 | 200 |      262.22µs |  219.144.66.205 | GET      "/"
[GIN] 2023/06/30 - 22:23:40 | 200 |     197.248µs | 123.159.206.172 | GET      "/"
[GIN] 2023/06/30 - 22:23:40 | 200 |     147.669µs |    218.61.7.231 | GET      "/"
[GIN] 2023/06/30 - 22:23:40 | 200 |     174.202µs |   27.221.126.25 | GET      "/"
[GIN] 2023/06/30 - 22:26:58 | 404 |         556ns |  219.144.66.205 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:26:58 | 404 |         835ns | 123.159.206.172 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:26:58 | 404 |         542ns |   27.221.126.25 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:26:58 | 404 |         483ns |    218.61.7.231 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:28:24 | 404 |         574ns | 170.254.178.241 | HEAD     "/"
[GIN] 2023/06/30 - 22:28:46 | 404 |         519ns |   10.179.80.226 | GET      "/robots.txt"
[GIN] 2023/06/30 - 22:33:11 | 200 |     185.109µs |    111.21.39.39 | GET      "/"
[GIN] 2023/06/30 - 22:33:49 | 200 |     161.545µs |    111.21.39.39 | GET      "/"
[GIN] 2023/06/30 - 22:33:50 | 200 |     219.589µs |     124.89.2.66 | GET      "/"
[GIN] 2023/06/30 - 22:33:51 | 200 |     280.485µs |     124.89.2.66 | GET      "/xxx/index.js"
[GIN] 2023/06/30 - 22:33:51 | 200 |      84.279µs |     124.89.2.66 | GET      "/xxx/game.js"
[GIN] 2023/06/30 - 22:33:51 | 200 |     249.353µs |     124.89.2.66 | GET      "/xxx/PressStart2P.ttf"
[GIN] 2023/06/30 - 22:33:51 | 200 |     102.393µs |     124.89.2.66 | GET      "/xxx/favicon.png"
[GIN] 2023/06/30 - 22:33:57 | 200 |     311.361µs |    111.21.39.39 | GET      "/"
[GIN] 2023/06/30 - 22:34:03 | 200 |     246.356µs |  162.216.149.23 | GET      "/"
[GIN] 2023/06/30 - 22:34:58 | 200 |     219.952µs |  185.160.37.124 | GET      "/"
[GIN] 2023/06/30 - 22:38:40 | 200 |     183.872µs |    218.61.7.231 | GET      "/"
[GIN] 2023/06/30 - 22:38:40 | 200 |     162.491µs |  219.144.66.205 | GET      "/"
[GIN] 2023/06/30 - 22:38:40 | 200 |     202.441µs | 123.159.206.172 | GET      "/"
[GIN] 2023/06/30 - 22:38:40 | 200 |      218.63µs |   27.221.126.25 | GET      "/"
[GIN] 2023/06/30 - 22:40:51 | 404 |         657ns |   107.170.233.8 | GET      "/portal/redlion"
[GIN] 2023/06/30 - 22:41:50 | 404 |         767ns |    8.142.104.65 | CONNECT  ""
[GIN] 2023/06/30 - 22:41:58 | 404 |         454ns |  219.144.66.205 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:41:58 | 404 |        1.07µs | 123.159.206.172 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:41:58 | 404 |       1.006µs |   27.221.126.25 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:41:58 | 404 |         474ns |    218.61.7.231 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:42:42 | 404 |         712ns |   40.77.167.184 | GET      "/robots.txt"
[GIN] 2023/06/30 - 22:42:46 | 200 |     177.058µs |  52.167.144.142 | GET      "/"
[GIN] 2023/06/30 - 22:42:48 | 200 |     207.471µs |   40.77.189.170 | GET      "/xxx/index.js"
[GIN] 2023/06/30 - 22:42:48 | 200 |     224.489µs |   40.77.189.170 | GET      "/xxx/game.js"
[GIN] 2023/06/30 - 22:42:50 | 200 |      366.18µs |   40.77.189.170 | GET      "/xxx/PressStart2P.ttf"
[GIN] 2023/06/30 - 22:50:16 | 200 |     231.523µs |    47.92.73.109 | GET      "/"
[GIN] 2023/06/30 - 22:50:16 | 200 |     149.885µs |    47.92.73.109 | GET      "/"
[GIN] 2023/06/30 - 22:50:16 | 404 |         624ns |     47.92.68.55 | GET      "/favicon.png"
[GIN] 2023/06/30 - 22:53:40 | 200 |     186.347µs |  219.144.66.205 | GET      "/"
[GIN] 2023/06/30 - 22:53:40 | 200 |     126.805µs |    218.61.7.231 | GET      "/"
[GIN] 2023/06/30 - 22:53:40 | 200 |     171.085µs | 123.159.206.172 | GET      "/"
[GIN] 2023/06/30 - 22:53:40 | 200 |     169.971µs |   27.221.126.25 | GET      "/"
[GIN] 2023/06/30 - 22:56:59 | 404 |         576ns |  219.144.66.205 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:56:59 | 404 |         497ns |    218.61.7.231 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:56:59 | 404 |         545ns | 123.159.206.172 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 22:56:59 | 404 |         634ns |   27.221.126.25 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:08:40 | 200 |     190.425µs |  219.144.66.205 | GET      "/"
[GIN] 2023/06/30 - 23:08:40 | 200 |      191.01µs | 123.159.206.172 | GET      "/"
[GIN] 2023/06/30 - 23:08:40 | 200 |     110.519µs |    218.61.7.231 | GET      "/"
[GIN] 2023/06/30 - 23:08:41 | 200 |     156.006µs |   27.221.126.25 | GET      "/"
[GIN] 2023/06/30 - 23:11:59 | 404 |         601ns |  219.144.66.205 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:11:59 | 404 |         417ns | 123.159.206.172 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:11:59 | 404 |         453ns |   27.221.126.25 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:11:59 | 404 |         548ns |    218.61.7.231 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:14:33 | 200 |     179.418µs |   222.77.96.141 | GET      "/"
[GIN] 2023/06/30 - 23:15:03 | 200 |    2.936119ms |     38.6.216.28 | GET      "/"
[GIN] 2023/06/30 - 23:15:10 | 200 |     254.131µs |     38.6.216.28 | GET      "/"
[GIN] 2023/06/30 - 23:15:14 | 404 |         856ns |     38.6.216.28 | GET      "/favicon.ico"
[GIN] 2023/06/30 - 23:15:15 | 200 |     154.773µs |     38.6.216.28 | GET      "/"
[GIN] 2023/06/30 - 23:15:15 | 200 |     114.351µs |     38.6.216.28 | GET      "/xxx/favicon.png"
[GIN] 2023/06/30 - 23:23:42 | 200 |     167.864µs |  219.144.66.205 | GET      "/"
[GIN] 2023/06/30 - 23:23:42 | 200 |     177.675µs | 123.159.206.172 | GET      "/"
[GIN] 2023/06/30 - 23:23:42 | 200 |     332.386µs |    218.61.7.231 | GET      "/"
[GIN] 2023/06/30 - 23:23:42 | 200 |      154.79µs |   27.221.126.25 | GET      "/"
[GIN] 2023/06/30 - 23:26:59 | 404 |         516ns |  219.144.66.205 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:26:59 | 404 |         656ns | 123.159.206.172 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:26:59 | 404 |         550ns |   27.221.126.25 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:26:59 | 404 |         594ns |    218.61.7.231 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:38:42 | 200 |     197.853µs |  219.144.66.205 | GET      "/"
[GIN] 2023/06/30 - 23:38:42 | 200 |     171.811µs | 123.159.206.172 | GET      "/"
[GIN] 2023/06/30 - 23:38:42 | 200 |     169.115µs |   27.221.126.25 | GET      "/"
[GIN] 2023/06/30 - 23:38:42 | 200 |     308.522µs |    218.61.7.231 | GET      "/"
[GIN] 2023/06/30 - 23:41:59 | 404 |         673ns |  219.144.66.205 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:41:59 | 404 |         580ns | 123.159.206.172 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:41:59 | 404 |         810ns |    218.61.7.231 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
